,rho,beta&a&b,phi,sigma,Ifit,nRuns,region,IUQ
1-24,0.0099999999999999,"[ 2.95408088e+02 -7.83062975e-02  7.13044680e-01  7.49814158e-01
 -8.84083795e-01  3.52807081e-02  3.61219244e-01  2.43167288e-01
 -1.07301805e-01]",0.7939889328357486,0.2955685759667097,1.0937947865210995,1,SEAF,1.0192688308725872
1-25,0.9410351387285842,"[ 2.93008459e+02  9.82131488e-02  6.71640994e-01  2.94145861e+00
 -1.15421224e+00  1.35802627e-01 -1.20701541e-01  2.34645780e-01
  9.42106948e-02]",0.5077488309683541,0.3678541776929293,1.0863109988003332,1,WSAF,1.0345483769560393
1-26,0.227371609268228,"[ 2.93688348e+02  9.19187889e-01 -1.52559877e-01  3.09030521e+00
 -1.50416783e+00  8.20023266e-02 -5.36925097e-01  1.35214409e-01
  2.84584837e-01]",0.4846017273366788,0.5077733470108817,1.1484354673215047,1,ESAF,1.0668679423739122
1-27,0.99,"[ 2.97136214e+02  2.22348797e-01  7.62772528e-01  1.96716946e+00
 -3.36634297e-01  5.40941480e-03  1.10789991e+00 -1.60794036e-01
 -4.53632750e-03]",0.6989146300282825,0.2508520266519045,1.108481473727102,1,MDG,0.9632082766406372
1-28,0.9370728140211184,"[ 2.57861832e+02 -4.01874556e-01  2.27879950e+00 -1.89316290e+01
  1.42909668e+00 -2.90771260e-01 -4.46493403e+00  1.26048295e-01
  6.42879675e-02]",0.4508357750109507,1.831878260460154,1.5726303432950788,1,RAR,1.3333644426420532
1-29,0.0099999999999999,"[ 2.72706956e+02  2.80878668e+00 -1.68129228e+00 -2.08509885e+01
 -2.63358793e-01 -3.37102260e-01 -1.50024669e-01 -6.15476629e-01
 -5.55446487e-01]",0.3138385369777574,2.637577803313263,1.07380994981992,1,WSB,1.1962086326547512
1-30,0.960649184021448,"[ 2.67887886e+02 -6.91164924e-01  2.06331129e+00 -2.32072966e+01
 -8.55992916e-01 -4.87925443e-01  4.65624788e-01  5.49847305e-01
 -1.42593486e-01]",0.2693837818132915,1.9043833843978009,1.0987611652327518,1,ESB,1.1338350814519904
1-31,0.0099999999999999,"[ 2.66873303e+02  3.40323529e+00 -2.21477383e+00 -1.44901606e+01
  4.08281822e-01  1.37203650e-01 -3.17245756e+00  7.16323036e-01
 -7.05184267e-02]",0.4414146558848253,1.0518482579020776,1.3112356725960157,1,RFE,1.152329866038142
1-32,0.010000066621485,"[ 2.87253413e+02  1.90246178e+00 -9.67217376e-01 -1.50425316e+01
 -2.32555417e-02 -1.62436078e-01 -8.14927358e-01  5.42634612e-01
 -3.02297266e-03]",0.2682169233460527,1.0772879714310435,1.05732996889874,1,WCA,1.0654774711303858
1-33,0.01,"[ 2.77840101e+02  1.15446593e+00 -1.56251488e-01 -1.94158797e+01
 -1.59545380e+00 -3.64693560e-01  6.29786459e-01  5.75744636e-01
 -4.04639266e-01]",0.2624387607666658,1.4006961809857734,1.0801958912856264,1,ECA,1.1045380101680287
1-34,0.0099999999999999,"[ 2.67638115e+02  2.32817781e+00 -1.26703851e+00 -1.40501458e+01
 -1.83948183e+00 -3.54404224e-02 -3.63760235e-01  9.56003372e-01
  1.99270567e-01]",0.3845695087880659,1.3242998752173871,1.1362027362072795,1,TIB,1.18973105392182
1-35,0.9111828057291164,"[ 2.87018553e+02  4.52366816e-02  7.73557321e-01 -8.53026044e+00
 -6.44282521e-01 -2.62366152e-02 -2.14017933e+00  4.59908772e-01
 -1.34521057e-01]",0.4349121303026071,0.4956108366025789,1.090487000946316,1,EAS,1.0381132283327106
1-36,0.7826275337278757,"[ 2.97445552e+02 -4.01024307e-01  1.35078492e+00 -8.39038868e+00
 -1.41118098e+00 -2.39285145e-01 -3.42369096e-02 -3.01090497e-01
  4.83173136e-01]",0.5199023692478532,0.896001083664031,1.0915878499625402,1,ARP,1.0922688576093573
1-37,0.032756859053828,"[ 2.96225130e+02  1.10121919e+00 -3.66116240e-01 -5.18057756e+00
 -2.00242110e+00 -1.51236316e-02  1.57773139e+00 -3.47447587e-01
  1.39149408e-01]",0.3880723032442865,0.6289324767401279,1.120305780785391,1,SAS,1.070806975703297
1-38,0.0099999999999999,"[ 2.98982617e+02 -5.51378237e-01  1.10930108e+00 -5.19134846e-01
 -2.08063821e-01 -5.25559810e-03  1.44164211e-01 -3.82707134e-01
 -1.93640641e-02]",0.8730237168776366,0.1737949354327416,1.082482107865659,1,SEA,1.1403203811769316
1-39,0.0100148891592733,"[ 2.98826263e+02  8.22984908e-01 -2.35448009e-01  1.97225925e+00
 -7.42104811e-01  4.44221560e-02  2.28235254e-01 -1.71961987e-01
 -6.46158431e-02]",0.6896739331436053,0.3539452738212812,1.0976344522745016,1,NAU,1.1449285800505542
1-40,0.8835717268769634,"[ 2.95946292e+02 -1.02262574e+00  1.96992795e+00  6.98119457e+00
 -1.50553658e+00 -1.07461564e-01 -6.24765737e-01  3.08990534e-01
  3.40344511e-03]",0.498898321584478,1.0481372933964674,1.0752199620742215,1,CAU,1.0282043277783472
1-41,0.8765672266384638,"[ 2.92857105e+02 -1.59204740e+00  2.40651238e+00  5.26330615e+00
 -7.79391622e-01 -3.95936757e-02  3.30801028e-01  3.09109666e-01
  1.22677825e-01]",0.5735963590858993,0.7225319578344456,1.0956498043014464,1,EAU,1.0174678025565833
1-42,0.3092690058172548,"[ 2.87594130e+02 -1.21547043e+00  1.85892262e+00  3.70557201e+00
  5.35984261e-02 -4.40963769e-03  1.39587779e+00  2.10909594e-01
  5.00280085e-02]",0.6319586618700969,0.3290966159295291,1.1431111140214305,1,SAU,1.0635671913820446
1-43,0.0099999999999999,"[ 2.87254819e+02 -7.43357101e-01  1.33387677e+00  2.47745675e+00
  1.80605424e-01  3.26184350e-02  2.18308988e+00  2.71761416e-01
  5.06674310e-03]",0.734369261663075,0.2513816194345547,1.110075530352446,1,NZ,1.0640958411158261
1-44,0.9136582554500152,"[ 2.37673001e+02 -1.15318866e+00  2.27825683e+00  1.22201378e+01
  3.04391125e+00  1.94263350e-01  1.54931359e-01 -1.69804982e+00
 -3.56508852e-01]",0.3016115407587814,1.0665553899894105,1.1577275781340632,1,EAN,1.1141161654861769
1-45,0.93717437907062,"[ 2.50404098e+02 -1.01704279e+00  2.19984136e+00  1.03380732e+01
  2.30459078e+00 -4.92710670e-02  7.94798035e-01 -1.07803721e+00
 -1.77169938e-01]",0.3029639294417358,1.6554542877255929,1.1526357131250216,1,WAN,1.16070694488
1-46,0.0567278767472842,"[253.86312922   4.3345349   -2.02861055  -9.39966241   0.53822824
   0.54007972  -5.74111239  -1.36033416   0.39207377]",0.7669478739912037,1.986708690814201,4.799376217423598,1,ARO,2.5562171800119424
1-47,0.0099999999999999,"[ 2.92847990e+02  7.38479988e-01 -1.71580939e-01 -1.67185333e+00
 -5.43542496e-02  6.37577301e-03 -2.23222272e+00  2.04075711e-01
  1.83700528e-02]",0.875155253728396,0.0904998150454994,1.19051210301442,1,NPO,1.0826693847570914
1-48,0.0099999999999999,"[ 2.99464340e+02  7.79558740e-01 -3.26075049e-01 -1.08128130e-01
 -6.72173389e-03  1.64359633e-02  7.39189255e-01 -2.11865288e-01
 -3.27247587e-04]",0.9772799268368904,0.1499514776508096,1.09525877499906,1,EPO,1.0599473334596223
1-49,0.9292447187003964,"[ 2.92024060e+02 -2.58439875e-01  7.57092153e-01  1.60000148e+00
  6.81673648e-02  1.10478095e-02  1.79616549e+00  1.25247258e-01
 -1.13769187e-02]",0.7882850337897609,0.0723525392916839,1.2063188880731637,1,SPO,1.0290626467104125
1-50,0.8338058944609112,"[ 2.92732687e+02 -1.23589718e-01  5.40929582e-01 -1.69543648e+00
  1.17935849e-02 -1.17443806e-02 -2.18405187e+00  2.93817999e-01
 -2.02417679e-02]",0.8530870531195347,0.1009930382526629,1.2712934228938753,1,NAO,1.0380456117358892
1-51,0.9138840485027812,"[ 2.98842840e+02 -2.23876464e-02  5.78456980e-01  6.36152510e-01
 -1.60365582e-01 -3.61298566e-02  1.26268545e+00 -2.93551719e-01
  6.62918889e-02]",0.8724091711880968,0.1249264390522138,1.1231580529798262,1,EAO,1.0158991845517413
1-52,0.99,"[ 2.91598244e+02  2.01029658e-01  5.66839208e-01  1.74353004e+00
  5.93694490e-02 -5.90190358e-03  2.17851438e+00  2.18267769e-01
 -4.26569828e-03]",0.768109480398265,0.1044141252016649,1.1468607397412949,1,SAO,0.9721738129720999
1-53,0.8965368979395169,"[ 2.99118774e+02 -2.47513781e-01  8.52928457e-01 -7.53634359e-01
 -4.75750753e-01 -2.59414696e-02 -5.05643102e-02 -8.11985380e-01
  8.35622580e-02]",0.8011327921444124,0.2340706547859747,1.0852317590730725,1,ARS,1.0125615392764715
1-54,0.0099999999999999,"[ 2.99724054e+02 -9.67886185e-02  6.31537160e-01 -1.04893007e+00
 -3.75553572e-01 -6.10032575e-02 -8.25386104e-02 -5.85509590e-01
 -1.49246400e-02]",0.7687438443233365,0.2402916257883868,1.0876163723710062,1,BOB,1.0289556251719325
1-55,0.0099999999999999,"[ 3.00089624e+02 -1.44445370e+00  1.98500058e+00 -6.07489008e-02
 -1.88671451e-01  5.08132606e-02  5.55772080e-01 -4.21320113e-01
 -5.63510499e-02]",0.8353396087221777,0.1956421904840569,1.120996804206681,1,EIO,1.0903936940670695
1-56,0.0099999999999999,"[ 2.94808712e+02 -3.20424560e-01  7.98201857e-01  1.35911877e+00
 -5.83525442e-03  1.43613840e-02  1.73396721e+00 -1.86399358e-02
 -1.12989683e-02]",0.8739744480784402,0.1002643676736632,1.1151432724802657,1,SIO,1.011879798967242
1-57,0.9615764011659074,"[ 2.76509095e+02 -7.70742096e-02  7.77709025e-01  2.25655123e+00
  1.15034372e-01 -1.94500556e-02  2.10982138e+00  1.43317696e-01
  3.61706763e-02]",0.7528740126958776,0.1366367591734104,1.862183325236892,1,SOO,1.3382072014970119
2-0,0.0099999999999999,"[ 2.57555655e+02  4.24880637e-01  7.00411512e-01 -1.06723931e+01
  1.56685172e+00  8.78672161e-02 -2.63406400e+00 -2.36700564e-01
 -8.35736863e-02]",0.4086896598592566,1.2051730614595018,1.2169419717331924,2,GIC,1.1514806050242832
2-1,0.9242366060081252,"[ 2.66910976e+02  6.81687467e-02  1.31548230e+00 -1.58872117e+01
  7.25176745e-01  6.16078858e-02 -1.78395127e+00  1.27523111e-02
  5.17929488e-01]",0.2974471131598029,1.676992313019038,1.1509628106690697,2,NWN,1.1354123804488423
2-2,0.8185204612620106,"[ 2.62086353e+02  8.43890090e-01  5.89454147e-01 -1.62838374e+01
 -1.67210012e-01 -2.02933337e-01 -5.03642833e+00 -7.75737687e-01
 -9.03718333e-02]",0.4350971378478865,1.5165428715651093,1.461056954956728,2,NEN,1.3308261728672164
2-3,0.794371085237024,"[ 2.80839143e+02  6.05244356e-01  3.21888562e-01 -1.22039889e+01
  5.10027851e-01 -1.91441641e-01 -1.12407896e+00  1.27571103e+00
  6.96597575e-02]",0.330930224093987,1.2582154975090856,1.063354600302872,2,WNA,1.0722601830170773
2-4,0.0100000291485259,"[ 2.84405142e+02 -4.99960895e-02  9.54079684e-01 -1.35427111e+01
 -7.28699544e-01 -8.09067912e-02 -9.00743814e-01  1.23715135e+00
 -1.22383342e-01]",0.2996608364292663,1.5170977330087454,1.047863119940354,2,CNA,1.0834086011028103
2-5,0.2011105395254451,"[ 2.85519119e+02 -4.32677823e-01  1.23919736e+00 -9.25355592e+00
 -5.60516180e-01 -1.57831191e-01 -1.70348098e+00  2.37492013e-01
 -2.21106133e-02]",0.2241872799615523,0.9253135399776726,1.0485350895509638,2,ENA,1.1440518076042017
2-6,0.2109763765803994,"[ 2.93065284e+02  7.12357312e-01  2.68478549e-02 -5.99449586e+00
 -3.96105761e-01 -9.82577719e-03 -8.61294989e-01  5.69843755e-01
  6.37562656e-02]",0.4188107192399279,0.5458800604997615,1.0688743250950616,2,NCA,0.9847455920379836
2-7,0.0099999999999999,"[ 2.98410108e+02  1.32580786e-01  4.64861405e-01 -1.44282173e+00
 -3.70266789e-01  1.22375254e-02 -2.43309407e-01 -1.77632929e-01
 -5.58322340e-02]",0.7654958892593919,0.2529001324141015,1.0790693675240417,2,SCA,1.0692029923337183
2-8,0.8620459448879922,"[ 2.99172084e+02  2.69134941e-02  4.67493621e-01 -1.03467935e+00
 -1.13269900e-01  1.82538573e-03 -1.10429725e+00 -1.19146145e-01
  5.37119766e-03]",0.8864565648669637,0.1123470417757419,1.0836448982080948,2,CAR,1.0296516189778404
2-9,0.888471824898507,"[ 2.93865788e+02 -3.60415860e-01  1.12450226e+00  2.03971364e-01
 -3.15167369e-01  6.72008520e-02  2.41176017e-01  2.84591975e-01
  3.02638957e-03]",0.8966573860461046,0.2170307841884996,1.0779060969246412,2,NWS,1.015683764545397
2-10,0.9166027898123348,"[ 2.96771521e+02 -1.81383798e-01  1.06924124e+00 -3.55431368e-01
 -7.46775402e-01  5.33244966e-02 -6.09730713e-01  4.75477615e-01
  1.18385586e-01]",0.8136266433326904,0.2850060463433665,1.166170816267012,2,NSA,1.1074963726537386
2-11,0.8974193380618033,"[ 2.97290088e+02 -1.22778592e-01  8.95123320e-01  6.09062953e-01
 -7.88032710e-01 -4.95036655e-02 -9.08963785e-01 -1.20045665e-02
  1.31246890e-01]",0.6754510927486389,0.4114611659932407,1.2130162498583152,2,NES,1.1092406243113528
2-12,0.8429068718489883,"[ 2.94600587e+02 -1.55296992e-01  1.10687448e+00  1.12362100e-01
 -8.35390490e-01  2.07053357e-01 -1.71522434e+00  9.13316398e-01
 -7.99531289e-03]",0.5865638266145132,0.6240507644017622,1.2534966914332564,2,SAM,1.1289097002324469
2-13,0.9479389202224756,"[ 2.87399614e+02 -2.18912083e-01  9.75784653e-01  3.73606414e+00
 -2.30786342e-01 -4.62880354e-02  9.13028519e-01  2.06665638e-01
 -3.32008261e-02]",0.6993008622367745,0.2914263702922135,1.0585996499628296,2,SWS,0.9425975871699144
2-14,0.8309126591890211,"[ 2.91334947e+02 -4.07792471e-01  1.13847643e+00  4.75921463e+00
 -7.47990738e-01  1.13193918e-01 -6.93189146e-02  6.01401585e-01
  1.39713114e-02]",0.3114721039709261,0.6051903179216006,1.0612044409983727,2,SES,1.013271424735865
2-15,0.0100000933440719,"[ 2.81332180e+02 -3.27858249e-01  8.23068135e-01  4.65053137e+00
  1.74258259e-01 -4.87218653e-03  1.49621410e+00  2.98447540e-01
  4.34395066e-02]",0.4997929105092835,0.379112514670167,1.0875227980202713,2,SSA,0.9839917160556573
2-16,0.1424489442398555,"[ 2.79148509e+02  1.51936160e-01  4.52458410e-01 -7.54986197e+00
  6.92092218e-01 -1.98561141e-01 -1.68962071e+00  2.86997953e-01
 -1.00993160e-03]",0.3992983504858249,0.8529797313523028,1.0679808587325588,2,NEU,1.0230331201875822
2-17,0.01,"[ 2.81583817e+02  2.87775159e+00 -2.07892314e+00 -1.11627331e+01
  6.57084560e-01 -2.16923355e-01 -5.27153984e-01  3.14726443e-01
 -3.37354607e-01]",0.3269718165477844,1.3667631789099677,1.1079904098257305,2,WCE,1.0901340117006753
2-18,0.0099999999999999,"[ 2.77231142e+02  5.08304842e+00 -4.11077207e+00 -1.62859985e+01
  2.70736191e-01 -3.79923106e-01 -4.31879398e-01 -3.92603914e-01
 -3.67363154e-01]",0.3345913159225775,2.186262551988053,1.062177636288368,2,EEU,1.1287738379850938
2-19,0.0099999999999999,"[ 2.89630655e+02  1.13837708e+00 -3.56991573e-01 -8.68942184e+00
  5.48054383e-01 -1.80188655e-01 -2.32707225e+00  8.45282028e-01
 -1.56032808e-01]",0.4755174800769113,0.5267823415175901,1.1819093802527056,2,MED,1.040077030167284
2-20,0.8904474022358309,"[ 2.96485443e+02  3.71383217e-01  5.59049199e-01 -8.78342946e+00
 -1.55258888e+00 -2.67551139e-01  2.09871365e-01  6.90841419e-02
  3.81634781e-01]",0.4009667276453011,0.694633377097142,1.0980976769360649,2,SAH,1.0608215200033615
2-21,0.9162492897455,"[ 2.98015511e+02  1.77918939e-01  5.53407671e-01 -3.85700548e-01
 -1.08164553e+00 -3.85435955e-01  1.62460519e+00 -2.26415783e-01
  2.22660875e-01]",0.5102796579850071,0.4298576184013788,1.1520069653585328,2,WAF,1.0505740957300747
2-22,0.9308258841087502,"[ 2.95369032e+02  8.27199400e-02  6.79782828e-01 -1.22518998e-01
 -8.22457992e-01 -1.93580044e-01  8.54811892e-01  3.36890307e-01
  6.05160747e-02]",0.5809471313508516,0.3283735213960709,1.0858784271700543,2,CAF,1.057719631635665
2-23,0.8910652057638829,"[ 2.97209381e+02 -4.04819371e-02  7.29551474e-01 -5.93407781e-01
 -9.84521444e-01 -1.83144456e-01  1.46562741e+00  5.15849946e-01
  9.63498184e-02]",0.5873649492023427,0.4677464365640861,1.086270997939254,2,NEAF,1.0477763782597256
2-24,0.0099999999999999,"[ 2.95415146e+02  3.50176085e-01  2.80167430e-01  7.45862086e-01
 -8.94518115e-01  2.37883241e-02  3.70032636e-01  2.38290370e-01
 -9.02624691e-02]",0.8016754285596228,0.300360139097843,1.092437598030731,2,SEAF,1.0455901931895895
2-25,0.9338698030061136,"[ 2.93036820e+02  1.18369760e-01  6.24219856e-01  2.93710773e+00
 -1.16448671e+00  1.31571282e-01 -1.03615112e-01  2.31668802e-01
  8.36766868e-02]",0.5412451701976793,0.369384992432271,1.078611584017418,2,WSAF,1.0730162558761915
2-26,0.4974775671440704,"[ 2.93851757e+02  3.09320088e-01  4.41684596e-01  3.09835944e+00
 -1.49949267e+00  7.14086858e-02 -5.36010169e-01  1.39629303e-01
  2.84063359e-01]",0.4985361463513484,0.5106227448232861,1.1399726688376317,2,ESAF,1.090352012994481
2-27,0.99,"[ 2.97010656e+02  3.42326248e-01  5.01170547e-01  1.97166759e+00
 -3.29646427e-01  7.27199828e-03  1.10372041e+00 -1.68619979e-01
 -3.28167028e-03]",0.7215378235281907,0.2535123641430968,1.0805129583184685,2,MDG,1.010320741537342
2-28,0.9143377671728696,"[ 2.58041945e+02 -4.20289849e-01  2.13582072e+00 -1.89143359e+01
  1.41552976e+00 -3.10546167e-01 -4.45548130e+00  1.34340193e-01
  7.10917641e-02]",0.4496220704890569,1.8019090807527525,1.5662704811219583,2,RAR,1.3145897189024736
2-29,0.0099999999999999,"[ 2.72659381e+02  3.02402724e+00 -1.87536122e+00 -2.07493920e+01
 -3.20912991e-01 -4.81283692e-01 -6.87387261e-02 -5.00174181e-01
 -4.59882022e-01]",0.3424615057569284,2.5903787047844427,1.0717358250868074,2,WSB,1.189393507604487
2-30,0.9747607903559122,"[ 2.67396463e+02 -1.64826996e-02  1.47627902e+00 -2.32083552e+01
 -8.93953257e-01 -5.74236790e-01  4.87303544e-01  5.89437916e-01
 -1.37174572e-01]",0.3025253973617883,1.9129519797096868,1.0829065825141115,2,ESB,1.1626978440998073
2-31,0.0100000026840753,"[ 2.66634103e+02  3.00959360e+00 -1.77066135e+00 -1.45183427e+01
  3.81104605e-01  1.40472098e-01 -3.17929569e+00  6.98953804e-01
 -1.18841276e-01]",0.4459534465555421,1.0668143598215332,1.2941360945996805,2,RFE,1.167958700098564
2-32,0.0099999999999999,"[ 2.87378648e+02  1.75557252e+00 -8.38619345e-01 -1.50327415e+01
 -5.43482117e-02 -2.17611067e-01 -7.95480802e-01  5.30764500e-01
  5.37527371e-03]",0.2795764328970923,1.0628920631836207,1.0548937498890072,2,WCA,1.04784022397942
2-33,0.0100000159747194,"[ 2.77879107e+02  1.18694127e+00 -1.98284738e-01 -1.94535367e+01
 -1.62237347e+00 -4.25644834e-01  6.65011088e-01  6.21815615e-01
 -3.87421330e-01]",0.2532980561663696,1.3732313497815545,1.0822650883913456,2,ECA,1.0936991600427572
2-34,0.0099999999999999,"[ 2.67894784e+02  1.89999106e+00 -8.89837654e-01 -1.40752432e+01
 -1.83498466e+00 -5.36580117e-03 -3.88410863e-01  9.44550830e-01
  1.79017497e-01]",0.3877377859407928,1.3198966965402874,1.1213790830307049,2,TIB,1.1762300319458037
2-35,0.9154131180814736,"[ 2.86988397e+02  2.78958920e-01  5.08075727e-01 -8.53593406e+00
 -6.69584999e-01 -2.65303312e-02 -2.14006125e+00  4.57250400e-01
 -1.34391304e-01]",0.3882373568112634,0.5033256643031403,1.0864792020855778,2,EAS,1.0288319762730775
2-36,0.8607845054242977,"[ 2.97514221e+02 -1.39787271e-01  1.08875248e+00 -8.40724987e+00
 -1.41215047e+00 -2.60043708e-01 -2.08370495e-02 -3.05857145e-01
  4.83866721e-01]",0.5034439051375988,0.9007620478329416,1.0854861157518907,2,ARP,1.0953235635590568
