,rho,beta0,beta1,beta2,phi,sigmasq,Ifit,IUQ
1,0.9152630554688026,286.50376843029295,0.024782074703747426,0.7142658764614911,0.2773724574594292,0.009745831581328551,1.2395371774496526,0.9029823054386288
2,0.9110058327976257,286.5093292101148,0.09255515991951961,0.6305706107980417,0.3061038764409605,0.009453020327734627,1.1671737881112383,0.8769576902108065
3,0.911047063161178,286.46353270874323,0.20003814605406953,0.5154011512706841,0.3268627057080064,0.011638018398259111,1.1211351393522015,1.0018762037540505
4,0.8899484120011418,286.44386557118355,0.15983671263221028,0.5487308440133527,0.3604218865106231,0.011826657778830421,1.102896763327272,0.9446927891248029
5,0.8820918874068525,286.43728568922535,0.13824652365757825,0.5695389452965929,0.36823485029775715,0.01256863479636178,1.1024449969236256,1.0291474607808575
6,0.8793408621687422,286.43281261798944,0.19615972983917293,0.5047662057006974,0.36713469415509414,0.012213264133061055,1.0905405139618682,0.9819735686807823
7,0.8869645354277005,286.4325477870135,0.22115051765716795,0.47991507993954496,0.36371463733188353,0.011871467749599369,1.0916466385513979,0.9912434713587233
8,0.8918238767839274,286.43815082571825,0.19875133742994205,0.5069294538088367,0.35719602497317166,0.011588419972681518,1.096200659559365,0.9480962050660391
9,0.8791746193772627,286.43917991945756,0.19090795488724435,0.5091859733007849,0.3700488628107132,0.011627032429224244,1.0919649130078763,0.980967421215324
10,0.8811596120656362,286.4347478413723,0.2001489478010861,0.5006598448567099,0.375897212576567,0.011692556016958488,1.0909876618078944,0.9674369482504208
11,0.8802174163478876,286.42919798126803,0.23292280748764502,0.4649423866681017,0.38830732515448374,0.01165180981084876,1.0894154735007022,0.9784719991956918
12,0.8836856679085376,286.44380762560223,0.22515779628770452,0.4720828478362274,0.38102432669312575,0.011601791117903715,1.094419999164266,0.9357503511049609
13,0.8845126254169118,286.4492425528489,0.21604623668429926,0.48168122319192547,0.39486259182842226,0.011673506320589387,1.0962450314000887,0.9995290478455191
14,0.8833529307898597,286.4443793218009,0.22394271269370966,0.4732964244490404,0.3963974161939463,0.01181308499529012,1.0945922638003531,0.9779610549493584
15,0.8841230356939487,286.4442961856125,0.22509855738677984,0.47211904471244287,0.39735173845249233,0.011821449023977377,1.0947207796625213,0.9495552007537545
16,0.8785171630143064,286.4327076988634,0.2200350892146258,0.47756231838752516,0.40104883454828705,0.011659442829891743,1.0902528398586524,1.0143527759650217
17,0.8735935359950441,286.42540835121247,0.22119380414966258,0.47615024765046765,0.40191341386004226,0.011874115480146606,1.0879940650497637,0.9965230684319808
18,0.8680664061187918,286.4245105999091,0.21146180590048727,0.4849157278424861,0.4017799141093338,0.011922191051355233,1.0876662750578745,1.06072642051287
19,0.863208985771136,286.42410906572445,0.20147060583481294,0.49440108313980413,0.39968652308630076,0.01193117648031381,1.0876400727311026,1.0318925903472862
20,0.8577374016064302,286.423846743661,0.18495459638232437,0.5105304254463445,0.4090032531419032,0.012074865169015176,1.0877618697039253,1.0305100763120618
21,0.8543994554503093,286.41635198835445,0.19454583757511856,0.5005507637701155,0.4071097060051629,0.011953274963978466,1.0859793062316385,1.0271741816512212
22,0.8493551795485678,286.4170946824633,0.17791742562552812,0.5171535352636546,0.4117055198459914,0.011997871867655434,1.0865091683596846,1.0097760075509155
23,0.8472856735642954,286.41629250751555,0.1745236614664524,0.5203406180507048,0.4090667507368723,0.011969635968149065,1.086468034108143,0.9684816985514487
24,0.8470028049978181,286.4146296656509,0.18090624652778153,0.5139434973541888,0.40535476932398984,0.012016389452164105,1.0863045249606822,1.0157095441033863
25,0.8443018140405008,286.41088389451255,0.185774404691517,0.50847043663432,0.4039369617498872,0.011994192832598552,1.085470903504344,1.0222040072401717
26,0.8495460107165393,286.41418782083525,0.18454231285656006,0.5105823627030891,0.404400170512689,0.012008054412348947,1.0857420310223271,0.9722064783911363
27,0.8533922743462503,286.4155423936886,0.1940929354078552,0.5010717232958274,0.4017294399004292,0.01188726359890544,1.0858804981547525,0.9852169522605576
28,0.8531120420434489,286.41432936523694,0.19233239147025732,0.5031105748188723,0.4043161538657435,0.011986148395367411,1.0855501212463545,1.0480743362639762
29,0.8544462380001243,286.41117206426566,0.19897858956453474,0.4971218362455128,0.4060782947402491,0.0119590764666702,1.0851048218133947,0.9861640963117658
30,0.8517034535443311,286.4055216516714,0.20559881592494358,0.49009542429287656,0.4093869170555121,0.011851986462895696,1.0841653921151895,0.9732542269280456
31,0.8498399687134695,286.4036293454392,0.2050764871373035,0.4901113626556654,0.4076060641993038,0.011845955201829834,1.0838603653014038,0.9402359881938782
32,0.8474809148277757,286.39956621812445,0.2059733749954356,0.4893163460914819,0.4065349301184587,0.011847797154588757,1.0834591799781912,0.9540739657731175
33,0.8485270782376629,286.39489188056916,0.21178268227634192,0.483805975511995,0.4068165474083587,0.011803811490125216,1.083771664942105,0.9606968058613155
34,0.8513663271412353,286.3970626406062,0.21363495138725908,0.482275303355978,0.4053143320567692,0.011730572248621765,1.0837089349696374,0.9732403293121562
35,0.8523421235318688,286.39579306440896,0.2154839366940518,0.4809918450740015,0.40320359194689476,0.011733097534388675,1.0835940653550509,0.971721700828006
